Time Structure Coil B-Sheet B-Bridge Bend Turn A-Helix 5-Helix 3-Helix
    1.54   278    97    42     6    48    43   187     5    12
   1.545   287    94    39     8    44    53   187     5    10
    1.55   283    99    37     8    44    49   189     5     9
   1.555   280    95    40     8    43    49   183    10    12
    1.56   279   103    33     9    40    54   183     5    13
   1.565   277   100    36     8    43    44   189     5    15
    1.57   274    95    33    10    48    50   181    10    13
   1.575   278    97    40     8    41    49   181     5    19
    1.58   274   100    35     8    43    50   181     5    18
   1.585   288    95    39     8    42    56   185     0    15
    1.59   282    97    36    10    46    47   189     0    15
   1.595   288    96    42     6    42    61   179     5     9
     1.6   283    93    40     8    47    50   185     5    12
   1.605   278   100    36     7    42    54   181     5    15
    1.61   274    95    39     8    51    43   184     5    15
   1.615   275    93    40    10    45    45   180    10    17
    1.62   280    99    37     9    40    55   179     5    16
   1.625   280    97    37     8    43    48   187     5    15
    1.63   280    94    38     8    44    49   185    10    12
   1.635   282   105    32    10    38    48   192     0    15
    1.64   286    98    43     6    39    51   186     5    12
   1.645   281    98    39     6    44    56   180     5    12
    1.65   276    99    35    10    51    50   181     5     9
   1.655   276    95    38     8    49    45   185     5    15
    1.66   285    96    38    10    40    51   186    10     9
   1.665   274   104    36     8    42    44   186     5    15
    1.67   275   102    36     6    46    43   190     5    12
   1.675   279   107    35     8    43    50   186     5     6
    1.68   274   104    33     8    48    51   182     5     9
   1.685   278   104    37     8    44    45   188     5     9
    1.69   272   100    34    10    45    43   185     5    18
   1.695   275    99    43     4    46    47   181     5    15
     1.7   273   102    36     6    48    44   187     5    12
   1.705   272   101    36     8    42    43   185    10    15
    1.71   278    96    38     9    46    42   189     5    15
   1.715   267    98    41     6    51    37   183     5    19
    1.72   278    94    38     8    51    45   187     5    12
   1.725   276   101    35     8    43    50   183     5    15
    1.73   282    94    43     6    47    55   178     5    12
   1.735   273    97    33    10    50    46   184     5    15
    1.74   284    99    38     8    43    57   181     5     9
   1.745   283   103    36     8    42    57   182     0    12
    1.75   279    98    34    10    45    41   194     0    18
   1.755   285    96    41     6    42    53   185     5    12
    1.76   265   104    30     8    54    37   190     5    12
   1.765   276    99    38     8    42    50   180     5    18
    1.77   282    98    40     8    40    48   186     5    15
   1.775   279    96    37     8    48    46   188     5    12
    1.78   272    98    37     7    47    44   184     5    18
   1.785   273    97    39     8    46    45   181     5    19
    1.79   270    98    37     8    43    41   184    10    19
   1.795   269    95    37     8    47    37   187    10    19
     1.8   281   100    37     8    40    51   185     0    19
   1.805   279   100    37     8    41    44   190     5    15
    1.81   273    94    34    10    49    47   182     5    19
   1.815   273   102    35     8    45    40   190     5    15
    1.82   270    94    37     9    50    45   179     5    21
   1.825   280   102    39     6    38    45   190     5    15
    1.83   273   101    34    10    45    39   190     5    16
   1.835   282    97    42     6    42    54   180     5    14
    1.84   274   101    35     8    43    41   190     5    17
   1.845   278   101    39     6    41    49   184     5    15
    1.85   283    99    37     6    41    52   188     5    12
   1.855   279   103    32    11    41    51   185     5    12
    1.86   285    96    41     8    39    47   189     5    15
   1.865   284    95    41     6    44    51   186     5    12
    1.87   281    97    37    10    45    46   188     5    12
